gene,entrez_id,chromosome,
BARX2,8538,11,
PGBD5,79605,1,
FOXP2,93986,7,
BTC,685,4,
PDYN,5173,20,
CPNE9,151835,3,
LINC00314,246705,21,
PCDH7,5099,4,
NRN1,51299,6,
NLGN1,22871,3,
LGR6,59352,1,
PRH2,5555,12,
PTGS2,5743,1,
SERPINF1,5176,17,
TMEM215,401498,9,
HTR1A,3350,5,
FSTL4,23105,5,
FLRT3,23767,20,
FAM153C,653316,5,
FUOM,282969,10,
N4BP2,55728,4,
NR2F1,7025,5,
TCAM1P,146771,17,
C9orf16,79095,9,
PRRT2,112476,16,
PAX8-AS1,654433,2,
CTNNAL1,8727,9,
NUPR1L,389493,7,
FBXO34,55030,14,
PRB2,653247,12,
HTR1D,3352,1,
POTEM,641455,14,
C20orf141,128653,20,
PLK5,126520,19,
FAM185A,222234,7,
ZBTB18,10472,1,
HIST1H4K,8362,6,
ACTR3C,653857,7,
MEF2C,4208,5,
BCYRN1,618,2,
FES,2242,15,
TMEM127,55654,2,
TFR2,7036,7,
DNAJC5G,285126,2,
SPDYE5,442590,7,
CDC6,990,17,
ZNF711,7552,X,
LIN7A,8825,12,
RSPO2,340419,8,
CAMKV,79012,3,
ACTN1,87,14,
TMEM132D,121256,12,
PTPN4,5775,2,
CDH8,1006,16,
STX19,415117,3,
BCL2L10,10017,15,
LRRC49,54839,15,
DCLK3,85443,3,
NRXN2,9379,11,
HIST1H4J,8363,6,
C19orf73,55150,19,
RTKN2,219790,10,
PTPRG,5793,3,
C9orf135,138255,9,
ZWILCH,55055,15,
FRY,10129,13,
KL,9365,13,
AP1G2,8906,14,
GSAP,54103,7,
ERVMER34-1,100288413,4,
GPR137C,283554,14,
TYRP1,7306,9,
MYH2,4620,17,
ARHGAP32,9743,11,
RGS8,85397,1,
HTR3B,9177,11,
WASF1,8936,6,
CENPJ,55835,13,
OR2Z1,284383,19,
PKD2L1,9033,10,
CD3G,917,11,
RYR2,6262,1,
DBP,1628,19,
ARNTL2,56938,12,
GRAMD2,196996,15,
ULK1,8408,12,
GGTLC1,92086,20,
GLT8D2,83468,12,
CAMK2N1,55450,1,
CACNA1F,778,X,
SCN2A,6326,2,
MIR5095,100616458,1,
GPHN,10243,14,
GABRA2,2555,4,
DMP1,1758,4,
SMPX,23676,X,
EPHA5,2044,4,
PLXND1,23129,3,
FAM3C,10447,7,
DGCR9,25787,22,
EGFL6,25975,X,
PTTG3P,26255,,
STRIP2,57464,7,
ENC1,8507,5,
KALRN,8997,3,
MCTP1,79772,5,
C7orf63,79846,7,
MYBPC1,4604,12,
GABBR2,9568,9,
PRB1,5542,12,
LEPREL2,10536,12,
LINC00152,112597,2,
C5orf30,90355,5,
RAB3B,5865,1,
RNF148,378925,7,
PCDHGA12,26025,5,
MYO7A,4647,11,
STAT4,6775,2,
AKAP5,9495,14,
ZADH2,284273,18,
H2BFXP,767811,,
RAPGEFL1,51195,17,
FAM19A1,407738,3,
STARD10,10809,11,
SCN5A,6331,3,
VCX,26609,X,
SYCP2,10388,20,
NLK,51701,17,
ELANE,1991,19,
AP1M2,10053,19,
STAC,6769,3,
TMEM151B,441151,6,
GALNT18,374378,11,
RBFOX3,146713,17,
LRRK1,79705,15,
ANKRD49,54851,11,
SORBS2,8470,4,
PRL,5617,6,
SMPD3,55512,16,
SYBU,55638,8,
SP9,100131390,2,
PYDC1,260434,16,
FGF14,2259,13,
PTPRO,5800,12,
RNFT1,51136,17,
ULBP2,80328,6,
PAK1,5058,11,
LINC00658,100507629,20,
RBBP8,5932,18,
CNTN5,53942,11,
KLF13,51621,15,
CLUL1,27098,18,
GPR64,10149,X,
HIST1H4A,8359,6,
DCAF4,26094,14,
KNCN,148930,1,
CRLS1,54675,20,
LRFN4,78999,11,
MGAT5B,146664,17,
ADCY9,115,16,
MEST,4232,7,
EML5,161436,14,
ZNF391,346157,6,
PRC1,9055,15,
C1orf51,148523,1,
LRFN2,57497,6,
CYP26B1,56603,2,
PALMD,54873,1,
SYT13,57586,11,
ZNF620,253639,3,
MIS18A,54069,21,
STRA6,64220,15,
CHGB,1114,20,
HNRNPA3P1,10151,,
SEC14L4,284904,22,
CIT,11113,12,
CADPS2,93664,7,
ZNF436,80818,1,
HRASLS5,117245,11,
PSMA6,5687,14,
MFSD4,148808,1,
NTNG2,84628,9,
KIAA1324,57535,1,
MIS18BP1,55320,14,
COL5A1,1289,9,
MEF2D,4209,1,
PDIA5,10954,3,
KIAA1549L,25758,11,
TSPAN5,10098,4,
ABCA5,23461,17,
ZSWIM3,140831,20,
YWHAZ,7534,8,
CNKSR2,22866,X,
RASGEF1B,153020,4,
TSPYL5,85453,8,
RFPL1S,10740,,
SYT1,6857,12,
DHDH,27294,19,
VCX2,51480,X,
MYRIP,25924,3,
KLF9,687,9,
HIST1H4F,8361,6,
ZNF785,146540,16,
USP32P1,162632,,
C17orf51,339263,17,
PHYHIP,9796,8,
SSX2IP,117178,1,
SLC24A4,123041,14,
CCDC88C,440193,14,
VSTM2A,222008,7,
R3HDM1,23518,2,
PLGLA,285189,,
EPN1,29924,19,
M1AP,130951,2,
NR2C2AP,126382,19,
DTYMK,1841,2,
RGS7,6000,1,
FBXO21,23014,12,
STOX2,56977,4,
TAC3,6866,12,
FAM160B2,64760,8,
RPL39L,116832,3,
ST7L,54879,1,
LNP1,348801,3,
ST3GAL6,10402,3,
ZNF534,147658,19,
CD200,4345,3,
CD3EAP,10849,19,
GPR156,165829,3,
ZNF876P,642280,4,
LRRC61,65999,7,
MUC19,283463,,
PIK3C2G,5288,12,
AVP,551,20,
ABCC12,94160,16,
SH2D4A,63898,8,
ANKRD20A11P,391267,21,
SHF,90525,15,
DUSP8,1850,11,
SYTL2,54843,11,
SPIDR,23514,8,
KIF21B,23046,1,
CACNB3,784,12,
HYDIN2,100288805,,
FER1L6-AS2,157376,8,
TSPYL4,23270,6,
PCSK9,255738,1,
CBLN4,140689,20,
KNDC1,85442,10,
USP11,8237,X,
EPHA3,2042,3,
GJB5,2709,1,
ARHGEF33,100271715,2,
SEMA3D,223117,7,
ACTA2,59,10,
AKAP7,9465,6,
PHYHIPL,84457,10,
NELL2,4753,12,
TP53I3,9540,2,
THPO,7066,3,
TMEM109,79073,11,
FBLN7,129804,2,
XBP1P1,7495,,
ZNF706,51123,8,
ST6GAL2,84620,2,
EXD1,161829,15,
CDK5R1,8851,17,
WFS1,7466,4,
OR6C74,254783,12,
ZC3H8,84524,2,
E2F7,144455,12,
MIAT,440823,22,
CHI3L1,1116,1,
GPM6A,2823,4,
EXOG,9941,3,
OR52W1,120787,11,
TEX40,25858,11,
HIST1H1A,3024,6,
KCNIP4,80333,4,
SLC13A4,26266,7,
ZSCAN31,64288,6,
TNFRSF4,7293,1,
HELLS,3070,10,
HIST1H3E,8353,6,
COL5A3,50509,19,
BFSP1,631,20,
MAPK1,5594,22,
ABCA17P,650655,16,
IP6K1,9807,3,
JADE1,79960,4,
ZNF157,7712,X,
LZTFL1,54585,3,
KCNB1,3745,20,
VGLL2,245806,6,
CLIP3,25999,19,
TMEM160,54958,19,
TAF7L,54457,X,
TP53TG3D,729264,16,
TYRO3,7301,15,
ZNF23,7571,16,
PKNOX2,63876,11,
CHRM3,1131,1,
USP46,64854,4,
MRVI1-AS1,100129827,11,
NELFA,7469,4,
PIK3R2,5296,19,
BDNF,627,11,
RGS6,9628,14,
DACT1,51339,14,
CAPSL,133690,5,
MESP1,55897,15,
TOE1,114034,1,
VIPR2,7434,7,
R3HDM4,91300,19,
FAM210B,116151,20,
MIRLET7I,406891,12,
RASAL2,9462,1,
SCAND3,114821,6,
SUN1,23353,7,
NKX2-4,644524,20,
POLE2,5427,14,
PDGFD,80310,11,
BRD1,23774,22,
MICU3,286097,8,
TRIM7,81786,5,
OPRL1,4987,20,
KIAA1462,57608,10,
TCP10L,140290,21,
FBXO4,26272,5,
C9orf40,55071,9,
PHACTR1,221692,6,
DDX54,79039,12,
PHF14,9678,7,
BRINP1,1620,9,
GPR155,151556,2,
ANKRD65,441869,1,
LTK,4058,15,
GSDMB,55876,17,
AGRN,375790,1,
TPTE2P6,374491,,
LINC00643,646113,,
KCNB2,9312,8,
KDM4D,55693,11,
SLC17A6,57084,11,
FAXC,84553,6,
IPO5,3843,13,
TOPORS,10210,9,
STK4-AS1,100505826,20,
ZNF615,284370,19,
DPY19L2,283417,12,
WDR41,55255,5,
SOBP,55084,6,
F8A1,8263,X,
KIAA1919,91749,6,
C16orf13,84326,16,
AREG,374,4,
SHD,56961,19,
FAM126B,285172,2,
CABLES1,91768,18,
ZC3H12D,340152,6,
SLITRK5,26050,13,
GRM1,2911,6,
ANXA11,311,10,
DNMT3A,1788,2,
SLC17A9,63910,20,
POMK,84197,8,
KDELR1,10945,19,
ERC2-IT1,711,3,
FBXO27,126433,19,
THRB,7068,3,
CELSR2,1952,1,
USP25,29761,21,
MX2,4600,21,
ELOVL4,6785,6,
HOOK1,51361,1,
TRIAP1,51499,12,
CACNA1S,779,1,
OR4S2,219431,11,
DLG5,9231,10,
TOB1-AS1,400604,17,
MYL2,4633,12,
DIAPH1,1729,5,
RAB40C,57799,16,
LINS,55180,15,
OR5AK2,390181,11,
BBS12,166379,4,
TK1,7083,17,
IFT20,90410,17,
STAT1,6772,2,
SUDS3,64426,12,
ASMT,438,X|Y,
SHROOM3,57619,4,
MKNK1,8569,1,
COIL,8161,17,
COL26A1,136227,7,
TSTD2,158427,9,
FAAH2,158584,X,
STRC,161497,15,
NICN1,84276,3,
DACT2,168002,6,
CDC40,51362,6,
IL17RA,23765,22,
ANKMY1,51281,2,
ANKRD16,54522,10,
PTCHD2,57540,1,
CXCL13,10563,4,
FGD3,89846,9,
CCL28,56477,5,
GPX2,2877,14,
ZNF267,10308,16,
EXOC6,54536,10,
SOST,50964,17,
STS,412,X,
ITPKA,3706,15,
OSBPL5,114879,11,
KCNH3,23416,12,
PFN3,345456,5,
ACAP3,116983,1,
PTPN2,5771,18,
EMX1,2016,2,
C1R,715,12,
ACSL3,2181,2,
ZNF26,7574,12,
KCNH1,3756,1,
ASTN1,460,1,
ORMDL3,94103,17,
RFPL2,10739,22,
SLC12A5,57468,20,
FAM83G,644815,17,
SRD5A3,79644,4,
SECTM1,6398,17,
FHL2,2274,2,
CNTD1,124817,17,
RPA4,29935,X,
HDHD1,8226,X,
TTC33,23548,5,
PTK6,5753,20,
C5AR2,27202,19,
C22orf43,51233,22,
FSIP1,161835,15,
STXBP1,6812,9,
ELAVL4,1996,1,
TCEB2,6923,16,
BMP4,652,14,
DGKK,139189,X,
CFL1P1,142913,10,
PRSS21,10942,16,
CTNNB1,1499,3,
RARB,5915,3,
LY6E,4061,8,
FGF12,2257,3,
LPL,4023,8,
DGCR8,54487,22,
RNF165,494470,18,
TAGAP,117289,6,
H1FX,8971,3,
TATDN2,9797,3,
PNMA2,10687,8,
LINC00900,283143,,
C6orf57,135154,6,
PET100,100131801,19,
HCCAT3,101669766,19,
MAPK6,5597,15,
C15orf61,145853,15,
TNFAIP8L1,126282,19,
CBX6,23466,22,
C1orf115,79762,1,
MYO16,23026,13,
OTUD6A,139562,X,
KMT2E,55904,7,
PCDHGC5,56097,5,
SESN1,27244,6,
LGALSL,29094,2,
DNAAF1,123872,16,
HILS1,373861,,
HOTAIRM1,100506311,,
NTS,4922,12,
PLEKHA5,54477,12,
UHRF2,115426,9,
C16orf45,89927,16,
UBQLN2,29978,X,
FOXRED2,80020,22,
FAM20A,54757,17,
AIM2,9447,1,
RGAG4,340526,X,
C5orf46,389336,5,
MIR4435-1HG,541471,2,
CELF2-AS2,439950,,
BHLHE22,27319,8,
DSN1,79980,20,
NRSN2,80023,20,
NDUFA5,4698,7,
NCDN,23154,1,
CD244,51744,1,
NLGN4X,57502,X,
NCOA5,57727,20,
C4orf40,401137,4,
C17orf97,400566,17,
KCNIP2,30819,10,
CTNNA2,1496,2,
MLF1,4291,3,
ELP2,55250,18,
OR5A1,219982,11,
CCL27,10850,,
ANAPC4,29945,4,
KIAA0125,9834,14,
MORC2-AS1,150291,22,
THRSP,7069,11,
ADAMTS13,11093,9,
CEP19,84984,3,
IFT122,55764,3,
C9orf41,138199,9,
ATCAY,85300,19,
UBE2I,7329,16,
WNT3,7473,17,
LETM2,137994,8,
PCDHA5,56143,5,
C18orf8,29919,18,
ZFYVE28,57732,4,
IL13RA2,3598,X,
DDI1,414301,11,
TTC8,123016,14,
ZBTB21,49854,21,
ATRNL1,26033,10,
SLC25A21,89874,14,
RFTN1,23180,3,
CNTD2,79935,19,
MBL1P,8512,10,
CITED4,163732,1,
ELK1,2002,X,
KIAA0513,9764,16,
EFCAB13,124989,17,
GALNT14,79623,2,
ZNF30,90075,19,
ARAP3,64411,5,
FAM24B,196792,10,
FBXO16,157574,8,
NOX3,50508,6,
PRORSD1P,344405,2,
NDOR1,27158,9,
HSD17B11,51170,4,
RBFOX1,54715,16,
ZNF165,7718,6,
L3MBTL3,84456,6,
MAP3K12,7786,12,
TSHZ2,128553,20,
PLCH2,9651,1,
CLEC4C,170482,12,
WIPI2,26100,7,
SCN3A,6328,2,
MB21D2,151963,3,
SMG7,9887,1,
IRF6,3664,1,
CELA1,1990,12,
CDKN2A,1029,9,
H2AFY2,55506,10,
POM121,9883,7,
ICAM5,7087,19,
SYTL1,84958,1,
PAPD7,11044,5,
SRSF11,9295,1,
MAP4K1,11184,19,
FAM162B,221303,6,
FEZF1,389549,7,
TBC1D28,254272,17,
NMT2,9397,10,
MYO5C,55930,15,
TMEM63B,55362,6,
NEK10,152110,3,
KDM1A,23028,1,
TSPYL1,7259,6,
OR2AK2,391191,1,
ZNF75A,7627,16,
ZNF773,374928,19,
ARHGAP44,9912,17,
GSR,2936,8,
ZNF541,84215,19,
FSBP,100861412,8,
OLR1,4973,12,
ATF1,466,12,
CEP41,95681,7,
RTEL1,51750,20,
ZNF662,389114,3,
CYP2A13,1553,19,
RNF219,79596,13,
LINC00950,92973,,
TLL1,7092,4,
RDH16,8608,12,
PNLIP,5406,10,
ZNF354C,30832,5,
ACVR2B,93,3,
CENPBD1,92806,16,
TRMT44,152992,4,
INSM1,3642,20,
SRPK1,6732,6,
FRMD6,122786,14,
MRPL3,11222,3,
RSAD1,55316,17,
CSAD,51380,12,
SAP18,10284,13,
MRPS6,64968,21,
EID2B,126272,19,
TCEAL1,9338,X,
PNMT,5409,17,
PLA2G4A,5321,1,
POLR3A,11128,10,
FCHO1,23149,19,
ZCCHC14,23174,16,
NAP1L3,4675,X,
CCDC64,92558,12,
ABR,29,17,
KCNT1,57582,9,
DUSP7,1849,3,
CADM3,57863,1,
CRHR2,1395,7,
EBAG9,9166,8,
P4HTM,54681,3,
FANCD2OS,115795,3,
LRRTM3,347731,10,
SARM1,23098,17,
KRT83,3889,12,
HNF4A,3172,20,
LRRK2,120892,12,
LINGO1,84894,15,
CRP,1401,1,
POSTN,10631,13,
SRGAP3,9901,3,
GLI1,2735,12,
IFNGR2,3460,21,
RIBC2,26150,22,
ZDBF2,57683,2,
AMMECR1,9949,X,
ST7-OT3,93655,7,
IGSF10,285313,3,
CDKL2,8999,4,
MGAT4A,11320,2,
NPPC,4880,2,
LY86-AS1,285780,6,
PCDHB12,56124,5,
DYRK1B,9149,19,
DARC,2532,1,
BRD4,23476,19,
TEK,7010,9,
CALML3,810,10,
CAMKK1,84254,17,
HEATR3,55027,16,
UXS1,80146,2,
ZNF837,116412,19,
WNT2B,7482,1,
GBX2,2637,2,
PPY2,23614,17,
GSG1L,146395,16,
AZI1,22994,17,
FBXO18,84893,10,
BCOR,54880,X,
GHR,2690,5,
KRTAP19-1,337882,21,
HIST1H3A,8350,6,
PTGS1,5742,9,
OPRD1,4985,1,
TMEM244,253582,6,
NR1D2,9975,3,
CCL25,6370,19,
NEGR1,257194,1,
RALGAPA2,57186,20,
WIZ,58525,19,
OTUD1,220213,10,
OPN1SW,611,7,
OR2L3,391192,1,
DSCR9,257203,21,
SPATS2L,26010,2,
MAGOHB,55110,12,
FGF18,8817,5,
KCND3,3752,1,
ABCG1,9619,21,
GRXCR2,643226,5,
ADAM20P1,317760,14,
NUMBL,9253,19,
SH2D4B,387694,10,
PPAT,5471,4,
SYT5,6861,19,
ALLC,55821,2,
SLC30A3,7781,2,
CYGB,114757,17,
MYCBP2,23077,13,
NAALADL1,10004,11,
ABRACL,58527,6,
OR7E91P,79315,2,
WSCD2,9671,12,
ECEL1P2,347694,2,
CDH16,1014,16,
SGCG,6445,13,
KCNJ9,3765,1,
CMPK2,129607,2,
SATB1,6304,3,
CYTH4,27128,22,
POU3F2,5454,6,
DNM1,1759,9,
ATP8B1,5205,18,
B4GALNT1,2583,12,
HIST1H4E,8367,6,
CCDC151,115948,19,
ZNF135,7694,19,
CACNA1C,775,12,
PLXNA4,91584,7,
SOCS2,8835,12,
TXLNB,167838,6,
IL13,3596,5,
ZNF467,168544,7,
FAM49A,81553,2,
ANKRD18B,441459,,
VSIG8,391123,1,
KDM5B,10765,1,
PTOV1-AS1,100506033,19,
MMRN2,79812,10,
JAG1,182,20,
RSC1A1,6248,1,
C7orf69,80099,,
PF4V1,5197,4,
PRKAR2B,5577,7,
PYCRL,65263,8,
HIST1H2AE,3012,6,
CCDC19,25790,1,
PIK3R1,5295,5,
UMODL1,89766,21,
TMEM97,27346,17,
MNT,4335,17,
GFOD1,54438,6,
DRD2,1813,11,
PDZD4,57595,X,
ATP2B3,492,X,
CACNA1G,8913,17,
C21orf67,84536,21,
FAM27L,284123,,
KCNH5,27133,14,
ASPDH,554235,19,
ZSWIM1,90204,20,
PYCARD,29108,16,
OR52M1,119772,11,
TTC39C,125488,18,
PAX3,5077,2,
DPF3,8110,14,
PLAGL2,5326,20,
REXO4,57109,9,
TOX2,84969,20,
38047,57574,2,
ACVR1B,91,12,
RNF2,6045,1,
ZNF268,10795,12,
SAMD12,401474,8,
TADA1,117143,1,
OR6N1,128372,1,
SOD3,6649,4,
CHAF1B,8208,21,
POLQ,10721,3,
FAM84A,151354,2,
SNF8,11267,17,
PPP1R14C,81706,6,
SHANK3,85358,22,
KIAA1257,57501,3,
B9D2,80776,19,
NPTN,27020,15,
WDR5,11091,9,
OR52N1,79473,11,
ZNF786,136051,7,
PRR12,57479,19,
HDGFL1,154150,6,
YTHDC1,91746,4,
CITED1,4435,X,
CARM1,10498,19,
UBASH3A,53347,21,
METTL14,57721,4,
OCLM,10896,1,
SHISA9,729993,16,
YPEL3,83719,16,
HSP90B2P,7190,,
CABP4,57010,11,
CACNB4,785,2,
ZNF587B,100293516,19,
C15orf27,123591,15,
COBLL1,22837,2,
PSG10P,653492,,
CYP46A1,10858,14,
SHCBP1L,81626,1,
SLC7A1,6541,13,
COL10A1,1300,6,
TEF,7008,22,
FAM46B,115572,1,
OLAH,55301,10,
TNFRSF11A,8792,18,
OR5W2,390148,11,
TTL,150465,2,
FAM131B,9715,7,
GPD2,2820,2,
MBLAC2,153364,5,
INTS8,55656,8,
ADSSL1,122622,14,
CCDC148-AS1,554201,2,
ZCCHC8,55596,12,
SFRP2,6423,4,
ZFP64,55734,20,
AGBL4,84871,1,
MSL2,55167,3,
CCDC144B,284047,17,
SLC8A2,6543,19,
HSD17B13,345275,4,
ANGPT4,51378,20,
SYNE4,163183,19,
PDIK1L,149420,1,
CENPL,91687,1,
RAB11FIP2,22841,10,
GPX6,257202,6,
PDK1,5163,2,
DCDC2,51473,6,
AMACR,23600,5,
NLRP9,338321,19,
SSC5D,284297,19,
LRRC4B,94030,19,
CCNG2,901,4,
UBP1,7342,3,
METTL15,196074,11,
BRINP3,339479,1,
ZDHHC8,29801,22,
IFNE,338376,9,
VAX2,25806,2,
AGAP2-AS1,100130776,12,
EHD2,30846,19,
MYT1L,23040,2,
C7orf33,202865,7,
NSMAF,8439,8,
RNASE7,84659,14,
SLC12A1,6557,15,
CARD10,29775,22,
PATE1,160065,11,
PPFIA3,8541,19,
SPTBN4,57731,19,
SLC17A7,57030,19,
USF1,7391,1,
XRCC6BP1,91419,12,
C11orf40,143501,11,
SLC6A20,54716,3,
SLITRK4,139065,X,
MMRN1,22915,4,
EDC4,23644,16,
SLIT3,6586,5,
RASA4CP,401331,,
UCP1,7350,4,
TSKS,60385,19,
NEIL2,252969,8,
RBBP5,5929,1,
NYX,60506,X,
CHERP,10523,19,
DEPDC1B,55789,5,
YWHAH,7533,22,
AKAP14,158798,X,
ZNF526,116115,19,
CPNE6,9362,14,
OR4N4,283694,15,
SUMO2,6613,17,
CYP4X1,260293,1,
C12orf61,283416,,
SPG7,6687,16,
TMEM240,339453,1,
PDGFB,5155,22,
SPATA24,202051,5,
PCBP1-AS1,400960,2,
HECW1,23072,7,
TMEM247,388946,2,
POLR1B,84172,2,
GRM5,2915,11,
HOXD12,3238,2,
TMEM200B,399474,1,
LINC00923,91948,15,
NDUFAF7,55471,2,
CRISP2,7180,6,
CLDND2,125875,19,
ECE2,9718,3,
STRADA,92335,17,
DYNLL1-AS1,100506668,12,
TNNI3,7137,19,
LGALS7B,653499,19,
TMEM128,85013,4,
FOXD4,2298,9,
CACNA1E,777,1,
LIPN,643418,10,
ECT2L,345930,6,
PBX4,80714,19,
POLR1D,51082,13,
KIAA0226,9711,3,
OLFM3,118427,1,
ATP2B1,490,12,
MTBP,27085,8,
PCDH1,5097,5,
ZC3H7A,29066,16,
ELFN1,392617,7,
DPP10-AS1,389023,2,
CAMK2A,815,5,
BANK1,55024,4,
MYF6,4618,12,
ZNF18,7566,17,
DNASE1L2,1775,16,
OR4M2,390538,15,
MYCNOS,10408,2,
DENND1C,79958,19,
CPLX3,594855,15,
E2F6,1876,2,
ZNF182,7569,X,
GP9,2815,3,
RAPGEF4,11069,2,
BSDC1,55108,1,
PTPN5,84867,11,
OR2AG1,144125,11,
KCNH6,81033,17,
SLC26A8,116369,6,
MRGBP,55257,20,
CDC7,8317,1,
CARD9,64170,9,
TRIM24,8805,7,
MPRIP,23164,17,
AHDC1,27245,1,
OR5AR1,219493,11,
C1QTNF6,114904,22,
SMIM12,113444,1,
AGXT2,64902,5,
NBPF8,728841,1,
OXT,5020,20,
PLSCR5,389158,3,
MMP3,4314,11,
NOS2,4843,17,
SPCS1,28972,3,
CYB5D1,124637,17,
MAT2B,27430,5,
RPGRIP1L,23322,16,
TRIM8,81603,10,
HTRA3,94031,4,
CALML6,163688,1,
TUFT1,7286,1,
PLA2G5,5322,1,
ADAM1A,8759,,
VIPR1,7433,3,
OR4L1,122742,14,
HTR4,3360,5,
KIAA1045,23349,9,
ABCA4,24,1,
SLC22A9,114571,11,
OXCT1,5019,5,
NCOR2,9612,12,
CD276,80381,15,
MRPL43,84545,10,
BARHL1,56751,9,
GCNT3,9245,15,
FAM20B,9917,1,
SIGLEC11,114132,19,
FAM161A,84140,2,
FMNL1,752,17,
SLC4A10,57282,2,
NUTM2B,729262,10,
RRAGD,58528,6,
UBOX5,22888,20,
DGKB,1607,7,
RAD18,56852,3,
CCDC62,84660,12,
ASB13,79754,10,
KCNIP2-AS1,100289509,,
CAPRIN2,65981,12,
ANGPT2,285,8,
UNC80,285175,2,
ASIC4,55515,2,
ZNF454,285676,5,
KLHL30,377007,2,
NAP1L2,4674,X,
PPIP5K1,9677,15,
PRAMEF12,390999,1,
UBD,10537,6,
ZNF491,126069,19,
CCR8,1237,3,
C5orf52,100190949,5,
CENPW,387103,6,
C11orf82,220042,11,
TMEM116,89894,12,
FTMT,94033,5,
UBN1,29855,16,
PPM1L,151742,3,
USP21,27005,1,
NDUFA10,4705,2,
TFAP4,7023,16,
BRCA2,675,13,
TNR,7143,1,
DECR2,26063,16,
RPS6KA3,6197,X,
ANKRD33B,651746,5,
LINC00684,100129407,X,
CDC42EP3,10602,2,
AKIRIN2,55122,6,
PARD3,56288,10,
RHOXF1,158800,X,
CKMT1A,548596,15,
LRRTM4,80059,2,
GPRASP1,9737,X,
LY6G5B,58496,6,
NOTCH2,4853,1,
STYK1,55359,12,
PAK7,57144,20,
HSD3BP4,128102,,
NAP1L4,4676,11,
ZC3H13,23091,13,
RADIL,55698,7,
ZNF567,163081,19,
C17orf100,388327,17,
ZBP1,81030,20,
ZSCAN26,7741,6,
ARSH,347527,X,
LINC00282,283521,13,
RASA3,22821,13,
UNC93A,54346,6,
FANCG,2189,9,
CSF2RB,1439,22,
C1orf204,284677,,
CIB4,130106,2,
CLUHP3,100132341,16,
AP3B2,8120,15,
LMTK3,114783,19,
RBFOX2,23543,22,
EDIL3,10085,5,
OR5M10,390167,11,
